Model,Anger_precision,Anger_recall,Anger_f1,Fear_precision,Fear_recall,Fear_f1,Happy_precision,Happy_recall,Happy_f1,Love_precision,Love_recall,Love_f1,Sadness_precision,Sadness_recall,Sadness_f1,accuracy,macro_f1,macro_prec,macro_recall,weighted_f1
XLM-R,0.5774647887323944,0.6119402985074627,0.5942028985507246,0.4782608695652174,0.4943820224719101,0.4861878453038674,0.8444444444444444,0.8685714285714285,0.856338028169014,0.75,0.7012987012987013,0.7248322147651006,0.7207207207207207,0.6779661016949152,0.6986899563318777,0.7053231939163498,0.6720501886241169,0.6741781646925554,0.6708317105088837,0.7057014500923852
IndoBERT,0.6792452830188679,0.5373134328358209,0.6,0.5294117647058824,0.6067415730337079,0.5654450261780105,0.9024390243902439,0.8457142857142858,0.8731563421828908,0.7303370786516854,0.8441558441558441,0.7831325301204819,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.7281368821292775,0.6999400000352597,0.7038798504923189,0.7023782474869147,0.7293311255344599
BiLSTM+FastText,0.625,0.44776119402985076,0.5217391304347826,0.2840909090909091,0.2808988764044944,0.2824858757062147,0.8023952095808383,0.7657142857142857,0.783625730994152,0.5542168674698795,0.5974025974025974,0.575,0.4857142857142857,0.576271186440678,0.5271317829457365,0.5760456273764258,0.5379965040161772,0.5502834543711825,0.5336096279983812,0.5773931900923137
